Year,Units,Value
2015,Kg por 1.000 euros de VAB,38.0
2016,Kg por 1.000 euros de VAB,32.4
2017,Kg por 1.000 euros de VAB,32.2
2018,Kg por 1.000 euros de VAB,35.2
