Year,Área Geográfica,Units,Value
2016-2017,Barcelona,Porcentaje,4.8
2017-2018,Barcelona,Porcentaje,4.5
2018-2019,Barcelona,Porcentaje,4.7
2019-2020,Barcelona,Porcentaje,7.5
2016-2017,Barcelona(población 0-15 años),Porcentaje,4.6
2017-2018,Barcelona(población 0-15 años),Porcentaje,6.7
2018-2019,Barcelona(población 0-15 años),Porcentaje,9.9
2019-2020,Barcelona,Porcentaje,12.9
2016-2017,Área Metropolitana Barcelona,Porcentaje,5.3
2017-2018,Área Metropolitana Barcelona,Porcentaje,4.9
2018-2019,Área Metropolitana Barcelona,Porcentaje,4.5
2019-2020,Barcelona,Porcentaje,6.3
