Year,Units,Value
2015,Promedio de Ha,9.5
2016,Promedio de Ha,15.3
2017,Promedio de Ha,16.8
2018,Promedio de Ha,11.1
2019,Promedio de Ha,3.6
2020,Promedio de Ha,2.3
