Year,Units,Value
2015,Diferencia entre respuestas positivas y negativas,10.8
2016,Diferencia entre respuestas positivas y negativas,15.5
2017,Diferencia entre respuestas positivas y negativas,17.6
2018,Diferencia entre respuestas positivas y negativas,25.9
2019,Diferencia entre respuestas positivas y negativas,18.7
2020,Diferencia entre respuestas positivas y negativas,9.7
