Year,Value,Units
2015,84.9,Total Number per 100.000 inhabitants
2016,87.3,Total Number per 100.000 inhabitants
2017,96.2,Total Number per 100.000 inhabitants
2018,96.6,Total Number per 100.000 inhabitants
