Year,Value,Units
2015,54.1,Euros per nit
2016,,Euros per nit
2017,56.1,Euros per nit
2018,55.5,Euros per nit
2019,59.5,Euros per nit
2015,78.4,Euros per estada total
2016,,Euros per estada total
2017,79.4,Euros per estada total
2018,79.6,Euros per estada total
2019,82.3,Euros per estada total
