Year,Value,Units
2015,60.3,Percentatge
2016,60.7,Percentatge
2017,61.4,Percentatge
2018,61.8,Percentatge
2019,62.1,Percentatge
2020,61.3,Percentatge
2021,62.3,Percentatge
