Year,Value,Units
2015,6.1,Taxa d'activitat empresarial
2016,7.0,Taxa d'activitat empresarial
2017,8.5,Taxa d'activitat empresarial
2018,8.6,Taxa d'activitat empresarial
2019,7.1,Taxa d'activitat empresarial
