Year,Value,Units
2015,10.8,Diferència entre respostes positives i negatives
2016,15.5,Diferència entre respostes positives i negatives
2017,17.6,Diferència entre respostes positives i negatives
2018,25.9,Diferència entre respostes positives i negatives
2019,18.7,Diferència entre respostes positives i negatives
2020,9.7,Diferència entre respostes positives i negatives
