Year,Value,Units
2015,190.8,Milions d'euros
2016,291.7,Milions d'euros
2017,330.2,Milions d'euros
2018,390.6,Milions d'euros
2015,190.8,Milions d'euros
2016,291.7,Milions d'euros
2017,330.2,Milions d'euros
2018,390.6,Milions d'euros
2015,6.84,Percentatge
2016,10.79,Percentatge
2017,12.36,Percentatge
2018,14.66,Percentatge
