Year,Value,Units
2015,54.1,Euros per night
2016,,Euros per night
2017,56.1,Euros per night
2018,55.5,Euros per night
2019,59.5,Euros per night
2015,78.4,Euros per total stay
2016,,Euros per total stay
2017,79.4,Euros per total stay
2018,79.6,Euros per total stay
2019,82.3,Euros per total stay
