Year,Value,Units
2015,26.4,Total Number per 100.000 inhabitants
2016,32.4,Total Number per 100.000 inhabitants
2017,24.5,Total Number per 100.000 inhabitants
2018,20.8,Total Number per 100.000 inhabitants
