Year,Value,Units
2015,56,Number of illegal settlements
2016,62,Number of illegal settlements
2017,72,Number of illegal settlements
2018,79,Number of illegal settlements
2019,77,Number of illegal settlements
2020,75,Number of illegal settlements
2017,143,People living in illegal settlements
2018,339,People living in illegal settlements
2019,396,People living in illegal settlements
2020,428,People living in illegal settlements
