Year,Value,Units
2015,5.61,Millones de metros cúbicos
2016,5.87,Millones de metros cúbicos
2017,5.81,Millones de metros cúbicos
2018,5.68,Millones de metros cúbicos
2019,5.52,Millones de metros cúbicos
