Year,Value,Units
2015,190.8,Millones de euros
2016,291.7,Millones de euros
2017,330.2,Millones de euros
2018,390.6,Millones de euros
2015,190.8,Millones de euros
2016,291.7,Millones de euros
2017,330.2,Millones de euros
2018,390.6,Millones de euros
2015,6.84,Porcentaje
2016,10.79,Porcentaje
2017,12.36,Porcentaje
2018,14.66,Porcentaje
