Year,Value,Units
2015,54.1,Euros por noche
2016,,Euros por noche
2017,56.1,Euros por noche
2018,55.5,Euros por noche
2019,59.5,Euros por noche
2015,78.4,Euros por estancia total
2016,,Euros por estancia total
2017,79.4,Euros por estancia total
2018,79.6,Euros por estancia total
2019,82.3,Euros por estancia total
