Year,Value,Units
2015,26.4,Número total por 100.000 habitantes
2016,32.4,Número total por 100.000 habitantes
2017,24.5,Número total por 100.000 habitantes
2018,20.8,Número total por 100.000 habitantes
2019,28.7,Número total por 100.000 habitantes
