Year,Value,Units
2015,6.5,Escala de 0 a 10
2016,6.7,Escala de 0 a 10
2017,6.7,Escala de 0 a 10
2018,6.7,Escala de 0 a 10
2019,6.5,Escala de 0 a 10
2020,6.1,Escala de 0 a 10
2021,6.4,Escala de 0 a 10
