Year,Value,Units
2015,47.7,Porcentaje
2016,49.6,Porcentaje
2017,51.2,Porcentaje
2018,52.5,Porcentaje
2019,53.3,Porcentaje
2020,53.8,Porcentaje
2021,55.1,Porcentaje
