Year,Units,Value
2015,Difference between positive and negative responses,10.8
2016,Difference between positive and negative responses,15.5
2017,Difference between positive and negative responses,17.6
2018,Difference between positive and negative responses,25.9
2019,Difference between positive and negative responses,18.7
2020,Difference between positive and negative responses,9.7
