Year,Units,Value
2015,Euros per night,54.1
2016,Euros per night,
2017,Euros per night,56.1
2018,Euros per night,55.5
2019,Euros per night,59.5
2015,Euros per total stay,78.4
2016,Euros per total stay,
2017,Euros per total stay,79.4
2018,Euros per total stay,79.6
2019,Euros per total stay,82.3
