Year,Units,Value
2015,Kg/inhabitant/day,1.27
2016,Kg/inhabitant/day,1.29
2017,Kg/inhabitant/day,1.28
2018,Kg/inhabitant/day,1.34
2019,Kg/inhabitant/day,1.33
