Year,Units,Value
2015,Milion cubic meter,5.61
2016,Milion cubic meter,5.87
2017,Milion cubic meter,5.81
2018,Milion cubic meter,5.68
2019,Milion cubic meter,5.52
2020,Milion cubic meter,4.99
