Year,Units,Value
2015,0-10 scale,6.5
2016,0-10 scale,6.7
2017,0-10 scale,6.7
2018,0-10 scale,6.7
2019,0-10 scale,6.5
2020,0-10 scale,6.1
2021,0-10 scale,6.4
