Year,Value,Units
2015,6.5,0-10 scale
2016,6.7,0-10 scale
2017,6.7,0-10 scale
2018,6.7,0-10 scale
2019,6.5,0-10 scale
2020,6.1,0-10 scale
2021,6.4,0-10 scale
