Year,Units,Value
2015,Kg per 1.000 euros de VAB,38.0
2016,Kg per 1.000 euros de VAB,32.4
2017,Kg per 1.000 euros de VAB,32.2
2018,Kg per 1.000 euros de VAB,35.2
