Year,Units,Value
2015,Euros per nit,54.1
2016,Euros per nit,
2017,Euros per nit,56.1
2018,Euros per nit,55.5
2019,Euros per nit,59.5
2015,Euros per estada total,78.4
2016,Euros per estada total,
2017,Euros per estada total,79.4
2018,Euros per estada total,79.6
2019,Euros per estada total,82.3
