Year,Units,Value
2015,Mitjana de Ha,9.5
2016,Mitjana de Ha,15.3
2017,Mitjana de Ha,16.8
2018,Mitjana de Ha,11.1
2019,Mitjana de Ha,3.6
2020,Mitjana de Ha,2.3
