Year,Àrea Geogràfica,Units,Value
2016-2017,Barcelona,Percentatge,4.8
2017-2018,Barcelona,Percentatge,4.5
2018-2019,Barcelona,Percentatge,4.7
2019-2020,Barcelona,Percentatge,7.5
2016-2017,Barcelona(població 0-15 anys),Percentatge,4.6
2017-2018,Barcelona(població 0-15 anys),Percentatge,6.7
2018-2019,Barcelona(població 0-15 anys),Percentatge,9.9
2019-2020,Barcelona,Percentatge,12.9
2016-2017,Àrea Metropolitana Barcelona,Percentatge,5.3
2017-2018,Àrea Metropolitana Barcelona,Percentatge,4.9
2018-2019,Àrea Metropolitana Barcelona,Percentatge,4.5
2019-2020,Barcelona,Percentatge,6.3
