Year,Units,Value
2015,Diferència entre respostes positives i negatives,10.8
2016,Diferència entre respostes positives i negatives,15.5
2017,Diferència entre respostes positives i negatives,17.6
2018,Diferència entre respostes positives i negatives,25.9
2019,Diferència entre respostes positives i negatives,18.7
2020,Diferència entre respostes positives i negatives,9.7
