Year,Gènere,Units,Value
2015,Homes,Taxa per 100.000,23.7
2015,Dones,Taxa per 100.000,12.2
2016,Homes,Taxa per 100.000,20.5
2016,Dones,Taxa per 100.000,12.4
2017,Homes,Taxa per 100.000,21.4
2017,Dones,Taxa per 100.000,13.0
2018,Homes,Taxa per 100.000,19.2
2018,Dones,Taxa per 100.000,12.5
