Year,Units,Value
2015,Percentatge,60.3
2016,Percentatge,60.7
2017,Percentatge,61.4
2018,Percentatge,61.8
2019,Percentatge,62.1
2020,Percentatge,61.3
2021,Percentatge,62.3
