Year,Gènere,Units,Value
2015,Homes,Taxa per 100.000,3224.2
2015,Dones,Taxa per 100.000,1756.1
2016,Homes,Taxa per 100.000,3114.2
2016,Dones,Taxa per 100.000,1617.2
2017,Homes,Taxa per 100.000,3356.1
2017,Dones,Taxa per 100.000,1677.6
